No job
A,87,-15
B,5,0
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
C,34,-6
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
D,14,-4
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
E,47,8
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
F,51,15
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
G,1,-18
No job
No job
H,21,5
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
I,87,19
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
J,6,-18
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
K,82,12
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
L,49,19
No job
No job
No job
No job
M,39,-16
No job
No job
No job
No job
No job
No job
No job
No job
No job
N,7,6
O,12,-19
No job
No job
P,14,-4
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
Q,34,-7
No job
R,98,-16
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
S,11,-4
No job
No job
No job
No job
No job
No job
No job
T,97,-7
No job
No job
No job
No job
No job
No job
No job
No job
U,19,-9
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
V,76,13
No job
No job
No job
No job
No job
No job
No job
No job
No job
W,84,-18
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
X,46,15
No job
No job
No job
Y,3,2
No job
No job
Z,76,-17
No job
No job
No job
No job
No job
No job
No job
AA,42,2
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
BB,45,6
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
CC,6,11
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
DD,2,-12
No job
No job
No job
No job
EE,13,12
No job
No job
No job
No job
No job
No job
FF,78,-16
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
GG,22,19
HH,18,3
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
No job
